[TRAIN] Step 201 | Loss: 5.856 | LR: 0.000201 | dt: 1060.22ms | tok/sec:  1931.68
[TRAIN] Step 202 | Loss: 5.995 | LR: 0.000202 | dt: 1057.01ms | tok/sec:  1937.54
[TRAIN] Step 203 | Loss: 6.045 | LR: 0.000203 | dt: 1061.54ms | tok/sec:  1929.26
[TRAIN] Step 204 | Loss: 6.196 | LR: 0.000204 | dt: 1060.61ms | tok/sec:  1930.97
[TRAIN] Step 205 | Loss: 6.061 | LR: 0.000205 | dt: 1059.99ms | tok/sec:  1932.09
[TRAIN] Step 206 | Loss: 6.212 | LR: 0.000206 | dt: 1059.91ms | tok/sec:  1932.25
[TRAIN] Step 207 | Loss: 6.245 | LR: 0.000207 | dt: 1060.05ms | tok/sec:  1931.99
[TRAIN] Step 208 | Loss: 6.307 | LR: 0.000208 | dt: 1054.92ms | tok/sec:  1941.38
[TRAIN] Step 209 | Loss: 6.066 | LR: 0.000209 | dt: 1062.31ms | tok/sec:  1927.87
[TRAIN] Step 210 | Loss: 6.129 | LR: 0.000210 | dt: 1058.52ms | tok/sec:  1934.77
[TRAIN] Step 211 | Loss: 6.164 | LR: 0.000211 | dt: 1059.76ms | tok/sec:  1932.51
[TRAIN] Step 212 | Loss: 6.268 | LR: 0.000212 | dt: 1062.99ms | tok/sec:  1926.64
[TRAIN] Step 213 | Loss: 6.219 | LR: 0.000213 | dt: 1057.17ms | tok/sec:  1937.24
[TRAIN] Step 214 | Loss: 6.369 | LR: 0.000214 | dt: 1057.38ms | tok/sec:  1936.87
[TRAIN] Step 215 | Loss: 6.405 | LR: 0.000215 | dt: 1060.36ms | tok/sec:  1931.43
[TRAIN] Step 216 | Loss: 6.392 | LR: 0.000216 | dt: 1056.32ms | tok/sec:  1938.81
[TRAIN] Step 217 | Loss: 6.278 | LR: 0.000217 | dt: 1058.98ms | tok/sec:  1933.94
[TRAIN] Step 218 | Loss: 6.389 | LR: 0.000218 | dt: 1058.18ms | tok/sec:  1935.40
[TRAIN] Step 219 | Loss: 6.219 | LR: 0.000219 | dt: 1060.28ms | tok/sec:  1931.57
[TRAIN] Step 220 | Loss: 6.337 | LR: 0.000220 | dt: 1062.47ms | tok/sec:  1927.57
[TRAIN] Step 221 | Loss: 6.100 | LR: 0.000221 | dt: 1061.86ms | tok/sec:  1928.69
[TRAIN] Step 222 | Loss: 6.224 | LR: 0.000222 | dt: 1058.63ms | tok/sec:  1934.58
[TRAIN] Step 223 | Loss: 6.429 | LR: 0.000223 | dt: 1061.99ms | tok/sec:  1928.45
[TRAIN] Step 224 | Loss: 6.312 | LR: 0.000224 | dt: 1057.66ms | tok/sec:  1936.35
[TRAIN] Step 225 | Loss: 6.131 | LR: 0.000225 | dt: 1059.92ms | tok/sec:  1932.23
[TRAIN] Step 226 | Loss: 6.130 | LR: 0.000226 | dt: 1060.06ms | tok/sec:  1931.97
[TRAIN] Step 227 | Loss: 6.111 | LR: 0.000227 | dt: 1060.14ms | tok/sec:  1931.82
[TRAIN] Step 228 | Loss: 5.978 | LR: 0.000228 | dt: 1059.32ms | tok/sec:  1933.32
[TRAIN] Step 229 | Loss: 5.790 | LR: 0.000229 | dt: 1060.00ms | tok/sec:  1932.08
[TRAIN] Step 230 | Loss: 5.836 | LR: 0.000230 | dt: 1054.12ms | tok/sec:  1942.86
[TRAIN] Step 231 | Loss: 6.062 | LR: 0.000231 | dt: 1062.90ms | tok/sec:  1926.80
[TRAIN] Step 232 | Loss: 6.178 | LR: 0.000232 | dt: 1056.63ms | tok/sec:  1938.24
[TRAIN] Step 233 | Loss: 6.177 | LR: 0.000233 | dt: 1055.56ms | tok/sec:  1940.20
[TRAIN] Step 234 | Loss: 6.315 | LR: 0.000234 | dt: 1059.55ms | tok/sec:  1932.89
[TRAIN] Step 235 | Loss: 6.343 | LR: 0.000235 | dt: 1055.01ms | tok/sec:  1941.21
[TRAIN] Step 236 | Loss: 6.160 | LR: 0.000236 | dt: 1061.72ms | tok/sec:  1928.95
[TRAIN] Step 237 | Loss: 6.068 | LR: 0.000237 | dt: 1058.62ms | tok/sec:  1934.59
[TRAIN] Step 238 | Loss: 6.010 | LR: 0.000238 | dt: 1054.26ms | tok/sec:  1942.60
[TRAIN] Step 239 | Loss: 6.262 | LR: 0.000239 | dt: 1059.62ms | tok/sec:  1932.76
[TRAIN] Step 240 | Loss: 5.935 | LR: 0.000240 | dt: 1058.24ms | tok/sec:  1935.29
[TRAIN] Step 241 | Loss: 6.035 | LR: 0.000241 | dt: 1057.11ms | tok/sec:  1937.36
[TRAIN] Step 242 | Loss: 6.056 | LR: 0.000242 | dt: 1060.34ms | tok/sec:  1931.46
[TRAIN] Step 243 | Loss: 6.189 | LR: 0.000243 | dt: 1056.30ms | tok/sec:  1938.85
[TRAIN] Step 244 | Loss: 6.058 | LR: 0.000244 | dt: 1062.42ms | tok/sec:  1927.68
[TRAIN] Step 245 | Loss: 5.732 | LR: 0.000245 | dt: 1054.36ms | tok/sec:  1942.40
[TRAIN] Step 246 | Loss: 5.751 | LR: 0.000246 | dt: 1060.41ms | tok/sec:  1931.33
[TRAIN] Step 247 | Loss: 5.790 | LR: 0.000247 | dt: 1057.46ms | tok/sec:  1936.71
[TRAIN] Step 248 | Loss: 5.838 | LR: 0.000248 | dt: 1055.40ms | tok/sec:  1940.50
[TRAIN] Step 249 | Loss: 5.975 | LR: 0.000249 | dt: 1062.56ms | tok/sec:  1927.42
[TRAIN] Step 250 | Loss: 6.130 | LR: 0.000250 | dt: 1054.29ms | tok/sec:  1942.53
